Track name, Artist name, Album, Playlist name, Type
The Grey,Thrice,Palms,Favourites 2019/02/20,Playlist track
Oceans,The Wombats,Beautiful People Will Ruin Your Life (Extended Version),Favourites 2019/02/20,Playlist track
Crowded City,Black Honey,Black Honey (Deluxe),Favourites 2019/02/20,Playlist track
Zombie Bastards,Weezer,Zombie Bastards,Favourites 2019/02/20,Playlist track
Say Amen (Saturday Night),Panic! At the Disco,Say Amen (Saturday Night),Favourites 2019/02/20,Playlist track
Bohemian Rhapsody,Panic! At the Disco,Suicide Squad: The Album,Favourites 2019/02/20,Playlist track
Death Of A Bachelor,Panic! At the Disco,Death Of A Bachelor,Favourites 2019/02/20,Playlist track
One For The Road,Arctic Monkeys,AM,Favourites 2019/02/20,Playlist track
Feel the Love Go (Edit),Franz Ferdinand,Feel the Love Go (Edit),Favourites 2019/02/20,Playlist track
Human,The Killers,Direct Hits,Favourites 2019/02/20,Playlist track
I Wanna Be Yours,Arctic Monkeys,AM,Favourites 2019/02/20,Playlist track
Anywhere,Passenger,Young as the Morning Old as the Sea,Favourites 2019/02/20,Playlist track
Starman (2002 Remastered Version),David Bowie,Best Of Bowie,Favourites 2019/02/20,Playlist track
Garage Palace (feat. Little Simz),Gorillaz,Garage Palace (feat. Little Simz),Favourites 2019/02/20,Playlist track
Andromeda (feat. DRAM),Gorillaz,Humanz (Deluxe),Favourites 2019/02/20,Playlist track
Tomorrow Comes Today,Gorillaz,Gorillaz,Favourites 2019/02/20,Playlist track
Sorcererz,Gorillaz,The Now Now,Favourites 2019/02/20,Playlist track
I Fall Apart,Post Malone,Stoney (Deluxe),Favourites 2019/02/20,Playlist track
Done for Me (feat. Kehlani),Charlie Puth,Voicenotes,Favourites 2019/02/20,Playlist track
Mirror,IDER,Mirror,Favourites 2019/02/20,Playlist track
I'm Still Standing,Elton John,Too Low For Zero,Favourites 2019/02/20,Playlist track
It's Not Unusual,Tom Jones,It's Not Unusual,Favourites 2019/02/20,Playlist track
Don't Speak,No Doubt,The Singles Collection,Favourites 2019/02/20,Playlist track
Mrs. Robinson,The Lemonheads,The Best Of The Lemonheads (The Atlantic Years),Favourites 2019/02/20,Playlist track
When You Were Young,The Killers,Sam's Town,Favourites 2019/02/20,Playlist track
Life On Mars? (2015 Remastered Version),David Bowie,Hunky Dory (2015 Remastered Version),Favourites 2019/02/20,Playlist track
still feel.,half·alive,still feel.,Favourites 2019/02/20,Playlist track
Stop The World I Wanna Get Off With You,Arctic Monkeys,Why'd You Only Call Me When You're High?,Favourites 2019/02/20,Playlist track
Business,Call Me Loop,Business,Favourites 2019/02/20,Playlist track
Morph,Twenty One Pilots,Trench,Favourites 2019/02/20,Playlist track
Crush Culture,Conan Gray,Sunset Season,Favourites 2019/02/20,Playlist track
Hate Me,Baauer,Hate Me,Favourites 2019/02/20,Playlist track
1999,Charli XCX,1999,Favourites 2019/02/20,Playlist track
Do I Wanna Know?,Arctic Monkeys,Do I Wanna Know?,Favourites 2019/02/20,Playlist track
Let Her Go,Passenger,Let Her Go,Favourites 2019/02/20,Playlist track
Your Love,The Outfield,Super Hits,Favourites 2019/02/20,Playlist track
Everybody Wants To Rule The World,Tears for Fears,Classic 80's,Favourites 2019/02/20,Playlist track
Loving Is Easy,Rex Orange County,Loving Is Easy,Favourites 2019/02/20,Playlist track
Fake Plastic Trees,Radiohead,The Bends,Favourites 2019/02/20,Playlist track
TSLAMP,MGMT,Little Dark Age,Favourites 2019/02/20,Playlist track
The Youth,MGMT,Oracular Spectacular,Favourites 2019/02/20,Playlist track
Grace,Lewis Capaldi,Breach,Favourites 2019/02/20,Playlist track
I Wanna Get Lost With You,Stereophonics,I Wanna Get Lost With You,Favourites 2019/02/20,Playlist track
Lookalike,Conan Gray,Sunset Season,Favourites 2019/02/20,Playlist track
Greek God,Conan Gray,Sunset Season,Favourites 2019/02/20,Playlist track
Electric Love,BØRNS,Candy,Favourites 2019/02/20,Playlist track
Talia,King Princess,Talia,Favourites 2019/02/20,Playlist track
Lucky People,Waterparks,Entertainment,Favourites 2019/02/20,Playlist track
If You Know That I'm Lonely,Fur,If You Know That I'm Lonely,Favourites 2019/02/20,Playlist track
This City,Patrick Stump,Soul Punk,Favourites 2019/02/20,Playlist track
Best Friend,Rex Orange County,Best Friend,Favourites 2019/02/20,Playlist track
American Money,BØRNS,Dopamine,Favourites 2019/02/20,Playlist track
Scary Love,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Favourites 2019/02/20,Playlist track
Ain't No Rest For The Wicked (Original Version),Cage The Elephant,Cage The Elephant,Favourites 2019/02/20,Playlist track
Here Without You,3 Doors Down,Away From The Sun,Favourites 2019/02/20,Playlist track
Why Do You Feel So Down,Declan McKenna,What Do You Think About the Car?,Favourites 2019/02/20,Playlist track
Girls Like Me,Will Joseph Cook,Girls Like Me,Favourites 2019/02/20,Playlist track
Aawake At Night,half·alive,3,Favourites 2019/02/20,Playlist track
Rude,Magic!,Don't Kill the Magic,Favourites 2019/02/20,Playlist track
Magic,Olympic Ayres,Episode III,Favourites 2019/02/20,Playlist track
Body Moves,DNCE,DNCE,Favourites 2019/02/20,Playlist track
Instant Crush (Unpeeled),Cage The Elephant,Unpeeled,Favourites 2019/02/20,Playlist track
Tarde Livre,Selvagens à Procura de Lei,Praieiro,Favourites 2019/02/20,Playlist track
When Can I See You Again?,Owl City,Detona Ralph,Favourites 2019/02/20,Playlist track
Fireflies,Owl City,Ocean Eyes,Favourites 2019/02/20,Playlist track
Happy Pills,Weathers,Happy Pills,Favourites 2019/02/20,Playlist track
Roaring 20s,Panic! At the Disco,Pray For The Wicked,Favourites 2019/02/20,Playlist track
Old Fashioned,Panic! At the Disco,Pray For The Wicked,Favourites 2019/02/20,Playlist track
Sad Song (Remastered),Oasis,Definitely Maybe (Remastered),Favourites 2019/02/20,Playlist track
Slide Away (Remastered),Oasis,Definitely Maybe (Remastered),Favourites 2019/02/20,Playlist track
